City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Klaksvik,FO,62.23,-6.59,42.8,93,91,8.05,'light rain'
299,Gazojak,TM,41.19,61.4,50.9,38,21,6.87,'few clouds'
300,Walvis Bay,NA,-22.96,14.51,55.4,87,60,9.17,'broken clouds'
301,Murray Bridge,AU,-35.12,139.27,73.99,55,56,3.0,'broken clouds'
302,Cabo San Lucas,MX,22.89,-109.91,93.2,21,5,4.7,'clear sky'
303,Krasnorechenskiy,RU,44.63,135.35,28.72,95,9,4.05,'clear sky'
304,Faanui,PF,-16.48,-151.75,80.44,78,17,21.9,'few clouds'
305,Ambulu,ID,-8.35,113.61,74.93,88,96,2.57,'overcast clouds'
306,Broken Hill,AU,-31.95,141.43,68.0,56,0,3.36,'clear sky'
307,Kutum,SD,14.2,24.67,74.53,27,43,17.25,'scattered clouds'
308,Waddan,LY,29.16,16.14,61.0,81,0,9.64,'clear sky'
309,Santa Rosa,PH,14.31,121.11,77.0,94,75,4.7,'broken clouds'
310,Mantua,IT,45.17,10.78,55.0,96,34,1.01,'scattered clouds'
311,Maragogi,BR,-9.01,-35.22,77.36,83,85,10.87,'overcast clouds'
312,Bogorodskoye,RU,56.55,37.88,38.82,90,100,8.05,'light rain'
313,Zorritos,PE,-3.68,-80.68,72.88,71,94,11.36,'overcast clouds'
314,North Bend,US,43.41,-124.22,64.99,72,1,6.93,'clear sky'
315,Douglas,US,41.3,-96.17,50.0,27,1,4.61,'clear sky'
316,Makushino,RU,55.21,67.24,29.55,97,2,4.94,'clear sky'
317,Tarakan,ID,3.3,117.63,76.35,88,100,6.64,'light rain'
318,Miri,MY,4.41,114.01,77.0,88,40,5.82,'scattered clouds'
319,Ust-Kuyga,RU,70.02,135.6,-15.48,87,99,8.01,'overcast clouds'
320,Nome,US,64.5,-165.41,19.0,72,1,4.34,'clear sky'
321,Khani,GE,41.96,42.96,59.0,93,75,2.24,'broken clouds'
322,Chekmagush,RU,55.13,54.66,30.31,96,0,4.74,'clear sky'
323,Jatai,BR,-17.88,-51.71,73.9,59,16,7.72,'few clouds'
324,Nouadhibou,MR,20.93,-17.03,78.8,41,100,13.87,'overcast clouds'
325,Sabzevar,IR,36.21,57.68,50.05,56,33,0.76,'scattered clouds'
326,Panlaitan,PH,12.12,119.85,80.67,78,81,7.36,'light rain'
327,Shagonar,RU,51.53,92.8,27.19,92,95,1.39,'overcast clouds'
328,Lorengau,PG,-2.02,147.27,85.3,69,16,6.15,'few clouds'
329,Saint George,US,37.1,-113.58,81.0,10,1,4.45,'clear sky'
330,Thanh Hoa,VN,19.8,105.77,72.75,92,100,2.62,'overcast clouds'
331,Lompoc,US,34.64,-120.46,79.0,44,1,10.29,'clear sky'
332,San Patricio,US,28.02,-97.52,82.0,39,20,14.99,'few clouds'
333,Werda,BW,-25.27,23.28,70.52,61,25,11.99,'scattered clouds'
334,Aripuana,BR,-9.17,-60.63,72.99,98,100,2.66,'moderate rain'
335,Canatlan,MX,24.52,-104.78,78.8,9,5,11.41,'clear sky'
336,Mount Gambier,AU,-37.83,140.77,55.4,87,42,8.05,'scattered clouds'
337,Thinadhoo,MV,0.53,72.93,82.98,75,98,10.98,'overcast clouds'
338,Bremerton,US,47.57,-122.63,60.01,54,1,4.7,'clear sky'
339,Port Lincoln,AU,-34.73,135.87,68.11,52,69,13.31,'broken clouds'
340,Capaci,IT,38.17,13.24,62.01,82,0,3.36,'clear sky'
341,Skjervoy,NO,70.03,20.97,46.42,77,83,19.1,'broken clouds'
342,Manado,ID,1.49,124.85,73.4,94,20,1.12,'few clouds'
343,Tirumullaivasal,IN,11.23,79.83,78.31,77,29,3.8,'scattered clouds'
